Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
229,Nuno Gonçalo Moreira,pt POR,FW,Vizela,22,1999,18.8,1,54,10,18.5,2.88,0.53,0.02,0.10,22.4,2,0,0,3.6,3.6,0.07,-2.6,-2.6,Matches,c28df63c
230,Diogo Gonçalves,pt POR,MFFW,Benfica,24,1997,9.6,0,11,3,27.3,1.15,0.31,0.00,0.00,15.4,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches,f4b52308
231,Ivo Gonçalves,pt POR,GK,Vizela,37,1984,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3f75e889
232,Jota Gonçalves,pt POR,DF,Tondela,21,2000,4.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f6f756b0
233,Pedro Gonçalves,pt POR,MFFW,Sporting CP,23,1998,22.4,8,88,38,43.2,3.93,1.70,0.08,0.18,19.4,1,1,2,13.7,12.1,0.14,-5.7,-5.1,Matches,c275947b
234,Cristian González,uy URU,DF,Santa Clara,25,1996,14.9,0,7,0,0.0,0.47,0.00,0.00,,15.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,dba66719
235,Mario González,es ESP,FW,Braga,25,1996,6.2,2,21,7,33.3,3.36,1.12,0.10,0.29,13.7,0,0,0,3.1,3.1,0.15,-1.1,-1.1,Matches,d189e48f
236,Jean Gorby,fr FRA,MF,Braga,19,2002,2.3,1,2,1,50.0,0.85,0.43,0.50,1.00,26.6,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches,4e4b59a4
237,Kenji Gorré,cw CUW,FWMF,Boavista,26,1994,18.5,4,36,11,30.6,1.95,0.60,0.11,0.36,22.2,1,0,0,2.5,2.5,0.07,+1.5,+1.5,Matches,52d1a4c6
238,Tiago Gouveia,pt POR,FWMF,Benfica,20,2001,1.0,0,3,3,100.0,3.14,3.14,0.00,0.00,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,68cf59f0
239,Álex Grimaldo,es ESP,DFMF,Benfica,25,1995,25.8,5,32,14,43.8,1.24,0.54,0.16,0.36,21.3,8,0,0,2.7,2.7,0.09,+2.3,+2.3,Matches,b1f4086c
240,Marko Grujić,rs SRB,MF,Porto,25,1996,9.9,1,18,4,22.2,1.82,0.40,0.06,0.25,15.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches,8b8e759d
241,Gui Guedes,pt POR,MF,Vitória,19,2002,0.7,0,1,0,0.0,1.45,0.00,0.00,,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,022c1bf7
242,Rafik Guitane,fr FRA,FWMF,Marítimo,22,1999,21.2,4,20,10,50.0,0.94,0.47,0.15,0.30,17.8,0,1,1,2.6,1.8,0.09,+1.4,+1.2,Matches,7091324a
243,Raphael Guzzo,pt POR,MF,Vizela,26,1995,9.1,2,14,5,35.7,1.53,0.55,0.14,0.40,13.8,1,0,0,2.6,2.6,0.19,-0.6,-0.6,Matches,2f002854
244,Emmanuel Hackman,tg TOG,DF,Gil Vicente FC,26,1995,7.4,0,2,0,0.0,0.27,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,8430028c
245,Yanis Hamache,dz ALG,MFDF,Boavista,22,1999,20.5,4,39,11,28.2,1.91,0.54,0.08,0.27,26.4,8,1,2,3.5,1.9,0.05,+0.5,+1.1,Matches,4f95c5a3
